area,condo_complex,bathrooms,new_address,legal_status,furniture_state,frontage,floors,bedrooms
100.0,0,3.0,"Tân Phú, Hồ Chí Minh",Have certificate,,4.0,2.0,4.0
47.0,0,1.0,"Quận 7, Hồ Chí Minh",Have certificate,Full,4.1,1.0,1.0
75.0,0,,"Sơn Trà, Đà Nẵng",Have certificate,,,2.0,4.0
41.0,0,,"Long Biên, Hà Nội",,,,5.0,4.0
80.0,0,,"Quận 7, Hồ Chí Minh",Have certificate,,,,2.0
250.0,0,1.0,"Củ Chi, Hồ Chí Minh",Have certificate,,,,4.0
33.0,0,,"Thanh Xuân, Hà Nội",,,3.4,6.0,
100.0,0,3.0,"Thủ Đức, Hồ Chí Minh",Have certificate,Full,,3.0,3.0
48.0,0,2.0,"Tân Phú, Hồ Chí Minh",Have certificate,Basic,4.0,2.0,2.0
31.0,0,4.0,"Nam Từ Liêm, Hà Nội",Have certificate,Full,6.0,5.0,4.0
32.0,0,3.0,"Hoàng Mai, Hà Nội",Have certificate,Full,,5.0,4.0
30.0,0,,"Đống Đa, Hà Nội",Have certificate,Full,5.2,4.0,
66.3,0,8.0,"Tân Bình, Hồ Chí Minh",Have certificate,Full,4.6,5.0,8.0
30.0,0,5.0,"Long Biên, Hà Nội",Have certificate,Basic,3.95,6.0,5.0
48.0,0,,"Bắc Từ Liêm, Hà Nội",Have certificate,Full,7.0,2.0,4.0
32.0,0,4.0,"Nam Từ Liêm, Hà Nội",Have certificate,Full,,4.0,5.0
48.0,0,3.0,"Quận 8, Hồ Chí Minh",Have certificate,,,3.0,4.0
67.2,0,3.0,"Quận 7, Hồ Chí Minh",Have certificate,Full,,2.0,3.0
54.0,0,4.0,"Tân Bình, Hồ Chí Minh",Have certificate,Full,,3.0,4.0
96.0,1,,"Văn Giang, Hưng Yên",,,,5.0,
40.0,0,1.0,"Hoàng Mai, Hà Nội",Have certificate,Full,3.0,1.0,2.0
75.0,0,2.0,"Dĩ An, Bình Dương",Have certificate,Full,5.0,2.0,2.0
84.0,0,4.0,"Hải Châu, Đà Nẵng",Have certificate,,4.6,3.0,4.0
35.0,0,4.0,"Nam Từ Liêm, Hà Nội",Have certificate,Full,3.5,5.0,3.0
