area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,new_address,condo_complex
62.0,,,,,4.0,6.0,4.0,Have certificate,,6.9,"Tân Phú, Hồ Chí Minh",0
100.0,15.0,20.0,,,3.0,,,Have certificate,,3.9,"Tân An, Long An",1
42.0,3.3,5.0,Nam,,4.0,5.0,4.0,Have certificate,Full,8.8,"Thanh Xuân, Hà Nội",0
143.0,5.0,6.0,,,4.0,4.0,4.0,Have certificate,Full,9.3,"Gò Vấp, Hồ Chí Minh",0
180.0,9.0,40.0,Nam,Nam,3.0,5.0,4.0,Have certificate,Basic,9.7,"Từ Sơn, Bắc Ninh",1
75.0,5.0,17.0,,,5.0,,,Have certificate,Basic,8.6,"Văn Giang, Hưng Yên",1
78.0,6.0,,,,5.0,,,Have certificate,Basic,9.4,"Văn Giang, Hưng Yên",1
33.0,4.5,2.5,Nam,Nam,5.0,3.0,4.0,Have certificate,Full,4.15,"Long Biên, Hà Nội",0
31.0,,,,,5.0,,,Have certificate,,2.9,"Thanh Trì, Hà Nội",0
83.6,,,Tây,,4.0,4.0,5.0,Have certificate,,8.6,"Quận 7, Hồ Chí Minh",0
56.0,4.8,3.0,Đông - Nam,Đông - Nam,6.0,4.0,4.0,Have certificate,,5.3,"Tây Hồ, Hà Nội",0
90.0,5.0,17.5,Đông - Bắc,Đông - Bắc,4.0,4.0,5.0,Have certificate,,3.85,"Thanh Hóa, Thanh Hóa",0
55.0,4.0,5.0,,,5.0,6.0,5.0,Have certificate,Full,8.3,"Hà Đông, Hà Nội",0
50.0,9.0,,Nam,Nam,2.0,2.0,2.0,Have certificate,,3.9,"Thủ Đức, Hồ Chí Minh",0
65.0,,8.0,,,4.0,4.0,5.0,,,4.2,"Quận 12, Hồ Chí Minh",0
60.0,,,,,,,,Have certificate,,4.3,"Hoàng Mai, Hà Nội",0
100.0,5.0,15.0,Đông - Nam,Đông - Nam,3.0,3.0,4.0,Sale contract,,3.95,"Nha Trang, Khánh Hòa",1
33.0,,,,,,1.0,1.0,Sale contract,,1.4,"Hà Đông, Hà Nội",1
60.0,,2.0,,,3.0,3.0,3.0,Have certificate,,4.7,"Thanh Trì, Hà Nội",0
70.0,,,,,5.0,5.0,4.0,,,6.9,"Long Biên, Hà Nội",0
40.0,,5.0,Tây,,4.0,5.0,4.0,Have certificate,Full,9.1,"Quận 10, Hồ Chí Minh",0
40.0,,,Đông - Nam,,5.0,6.0,3.0,,,6.25,"Long Biên, Hà Nội",0
66.0,4.0,12.0,,,4.0,5.0,3.0,Have certificate,,8.95,"Quận 6, Hồ Chí Minh",0
35.0,,,,,4.0,4.0,3.0,Have certificate,Full,6.25,"Cầu Giấy, Hà Nội",0
74.0,,,,,2.0,4.0,3.0,Have certificate,Full,6.83,"Tân Phú, Hồ Chí Minh",0
45.0,,,,,2.0,2.0,2.0,Have certificate,,4.4,"Quận 7, Hồ Chí Minh",0
70.0,,,,,,,,Have certificate,Basic,6.8,"Long Biên, Hà Nội",0
45.0,,24.0,Đông - Nam,,,,,Sale contract,Basic,7.0,"Quận 9, Hồ Chí Minh",1
85.0,,18.0,Tây - Bắc,,2.0,4.0,4.0,Have certificate,,5.9,"Tân Uyên, Bình Dương",1
48.0,,2.5,,,4.0,5.0,,Have certificate,Basic,6.4,"Long Biên, Hà Nội",0
56.1,4.2,,,,4.0,4.0,3.0,Have certificate,,6.3,"Thủ Đức, Hồ Chí Minh",0
40.0,,,,,5.0,,,,,7.48,"Hoàng Mai, Hà Nội",0
36.5,3.6,4.0,,,6.0,3.0,4.0,Have certificate,Basic,4.1,"Hoài Đức, Hà Nội",0
36.0,,,,,4.0,,,Have certificate,,7.49,"Long Biên, Hà Nội",0
64.0,4.0,6.0,Tây,Tây,5.0,4.0,5.0,Have certificate,Basic,6.7,"Bình Tân, Hồ Chí Minh",0
12.0,3.0,3.0,Đông - Bắc,Đông - Bắc,5.0,3.0,4.0,,,1.8,"Đống Đa, Hà Nội",0
90.0,,,,,,3.0,2.0,Have certificate,,3.2,"Bến Lức, Long An",1
53.0,4.3,22.0,Đông,Đông,5.0,6.0,5.0,Have certificate,Basic,6.39,"Nam Từ Liêm, Hà Nội",0
96.0,5.5,,Đông - Nam,,2.0,5.0,5.0,Have certificate,Full,8.5,"Bình Tân, Hồ Chí Minh",0
31.0,6.2,6.0,Tây - Bắc,Tây - Bắc,3.0,4.0,3.0,Have certificate,Full,6.8,"Quận 10, Hồ Chí Minh",0
56.0,3.85,2.8,,,4.0,4.0,5.0,Have certificate,Full,8.5,"Thanh Xuân, Hà Nội",0
116.8,,,,,,3.0,2.0,Have certificate,,7.3,"Bắc Từ Liêm, Hà Nội",0
56.0,5.0,13.0,Đông - Nam,Đông - Nam,5.0,,,,,7.6,"Văn Giang, Hưng Yên",1
64.0,4.0,6.0,,,5.0,6.0,6.0,Have certificate,Full,5.98,"Bình Tân, Hồ Chí Minh",0
65.0,5.5,7.0,Tây - Nam,Tây - Nam,3.0,3.0,3.0,Have certificate,Full,4.7,"Ngũ Hành Sơn, Đà Nẵng",0
50.0,,,,,4.0,4.0,4.0,,,7.0,"Tân Phú, Hồ Chí Minh",0
